AAPL,Apple Computer,blue,solid
ADBE,Adobe Systems,red,solid
CSCO,Cisco Systems,black,solid
NTAP,NetApp,yellow,solid
MSFT,Microsoft Coproration,orange,solid
AMZN,Amazon,green,solid
TSLA,Tesla,navy,dashed
VMW,VMWare,hotpink,dashed
DOCU,DocuSign,lightsteelblue,dotted
SPLK,Splunk,grey,dashdot
XLU,Utilities Select Sector,sandybrown,dashdot
